Filled container:
0: Coorinates (848, 1) - 1
79: Coorinates (590, 18) - 18
80: Coorinates (575, 18) - 18
81: Coorinates (614, 18) - 18
82: Coorinates (466, 18) - 18
83: Complex number (17, 19) - 18
84: Coorinates (549, 19) - 19
85: Coorinates (182, 19) - 19
86: Coorinates (693, 19) - 19
87: Coorinates (308, 19) - 19
88: Coorinates (889, 19) - 19
89: Coorinates (564, 19) - 19
90: Complex number (11, 26) - 19
91: Coorinates (200, 20) - 20
92: Coorinates (700, 20) - 20
93: Coorinates (139, 20) - 20
94: Coorinates (951, 20) - 20
95: Coorinates (324, 21) - 21
96: Coorinates (454, 21) - 21
97: Coorinates (644, 21) - 21
98: Coorinates (264, 21) - 21
99: Coorinates (631, 21) - 21
100: Complex number (4, 31) - 22
101: Coorinates (591, 22) - 22
102: Coorinates (994, 22) - 22
103: Coorinates (841, 22) - 22
104: Coorinates (918, 22) - 22
105: Coorinates (926, 23) - 23
106: Coorinates (783, 23) - 23
107: Coorinates (618, 23) - 23
108: Coorinates (965, 23) - 23
109: Coorinates (135, 23) - 23
110: Coorinates (307, 23) - 23
111: Coorinates (901, 23) - 23
112: Coorinates (705, 23) - 23
113: Coorinates (919, 24) - 24
114: Coorinates (274, 24) - 24
115: Coorinates (88, 24) - 24
116: Coorinates (724, 24) - 24
117: Coorinates (36, 24) - 24
118: Coorinates (661, 24) - 24
119: Coorinates (574, 24) - 24
120: Coorinates (536, 25) - 25
121: Coorinates (359, 25) - 25
122: Complex number (36, 4) - 25
123: Coorinates (28, 25) - 25
124: Coorinates (615, 25) - 25
125: Complex number (13, 34) - 25
126: Coorinates (126, 25) - 25
127: Coorinates (438, 26) - 26
128: Coorinates (633, 26) - 26
129: Coorinates (775, 26) - 26
130: Coorinates (452, 26) - 26
131: Coorinates (485, 26) - 26
132: Coorinates (368, 26) - 26
133: Coorinates (112, 27) - 27
134: Coorinates (397, 27) - 27
135: Coorinates (951, 27) - 27
136: Coorinates (931, 27) - 27
137: Coorinates (973, 27) - 27
138: Coorinates (68, 27) - 27
139: Coorinates (244, 27) - 27
140: Complex number (37, 13) - 27
141: Coorinates (427, 27) - 27
142: Coorinates (160, 27) - 27
143: Coorinates (484, 28) - 28
144: Coorinates (657, 28) - 28
145: Coorinates (785, 28) - 28
146: Complex number (3, 40) - 28
147: Coorinates (130, 28) - 28
148: Complex number (16, 38) - 29
149: Coorinates (76, 29) - 29
150: Coorinates (497, 29) - 29
151: Coorinates (55, 29) - 29
152: Coorinates (374, 29) - 29
153: Coorinates (120, 30) - 30
154: Coorinates (789, 30) - 30
155: Coorinates (473, 30) - 30
156: Coorinates (409, 30) - 30
157: Coorinates (60, 30) - 30
158: Coorinates (826, 30) - 30
159: Coorinates (945, 30) - 30
160: Coorinates (944, 31) - 31
161: Coorinates (47, 31) - 31
162: Coorinates (31, 31) - 31
163: Coorinates (131, 31) - 31
164: Coorinates (406, 31) - 31
165: Coorinates (21, 32) - 32
166: Coorinates (259, 32) - 32
167: Complex number (29, 36) - 32
168: Coorinates (940, 32) - 32
169: Coorinates (224, 32) - 32
170: Coorinates (757, 32) - 32
171: Coorinates (235, 32) - 32
172: Complex number (9, 46) - 33
173: Coorinates (214, 33) - 33
174: Coorinates (140, 33) - 33
175: Coorinates (674, 33) - 33
176: Coorinates (462, 33) - 33
177: Coorinates (351, 33) - 33
178: Coorinates (171, 33) - 33
179: Coorinates (293, 33) - 33
180: Coorinates (802, 33) - 33
181: Coorinates (54, 34) - 34
182: Complex number (28, 40) - 34
183: Complex number (11, 48) - 34
184: Coorinates (379, 34) - 34
185: Coorinates (997, 34) - 34
186: Coorinates (352, 34) - 34
187: Coorinates (365, 35) - 35
188: Complex number (7, 50) - 35
189: Coorinates (283, 35) - 35
190: Coorinates (733, 35) - 35
191: Coorinates (923, 35) - 35
192: Coorinates (753, 36) - 36
193: Coorinates (315, 36) - 36
194: Coorinates (948, 36) - 36
195: Coorinates (655, 36) - 36
196: Coorinates (829, 36) - 36
197: Coorinates (814, 37) - 37
198: Coorinates (924, 37) - 37
199: Coorinates (321, 37) - 37
200: Coorinates (756, 37) - 37
201: Coorinates (208, 37) - 37
202: Coorinates (29, 37) - 37
203: Coorinates (330, 37) - 37
204: Coorinates (256, 37) - 37
205: Coorinates (210, 38) - 38
206: Complex number (53, 10) - 38
207: Coorinates (175, 38) - 38
208: Coorinates (808, 38) - 38
209: Coorinates (776, 38) - 38
210: Coorinates (858, 38) - 38
211: Coorinates (501, 39) - 39
212: Coorinates (901, 39) - 39
213: Coorinates (721, 39) - 39
214: Coorinates (905, 39) - 39
215: Coorinates (383, 39) - 39
216: Coorinates (832, 40) - 40
217: Complex number (49, 30) - 40
218: Coorinates (1000, 40) - 40
219: Coorinates (955, 40) - 40
220: Coorinates (102, 40) - 40
221: Coorinates (646, 40) - 40
222: Coorinates (970, 40) - 40
223: Coorinates (949, 41) - 41
224: Coorinates (420, 41) - 41
225: Coorinates (192, 41) - 41
226: Coorinates (745, 41) - 41
227: Coorinates (690, 41) - 41
228: Coorinates (49, 41) - 41
229: Coorinates (197, 41) - 41
230: Coorinates (734, 41) - 41
231: Coorinates (750, 41) - 41
232: Coorinates (669, 41) - 41
233: Coorinates (177, 41) - 41
234: Coorinates (10, 42) - 42
235: Coorinates (688, 42) - 42
236: Coorinates (546, 42) - 42
237: Coorinates (196, 42) - 42
238: Coorinates (316, 42) - 42
239: Complex number (58, 17) - 42
240: Coorinates (920, 42) - 42
241: Coorinates (884, 43) - 43
242: Coorinates (260, 43) - 43
243: Coorinates (219, 43) - 43
244: Coorinates (866, 43) - 43
245: Coorinates (458, 44) - 44
246: Coorinates (976, 44) - 44
247: Coorinates (871, 44) - 44
248: Coorinates (817, 44) - 44
249: Coorinates (959, 44) - 44
250: Coorinates (151, 44) - 44
251: Coorinates (167, 44) - 44
252: Coorinates (666, 44) - 44
253: Coorinates (575, 44) - 44
254: Coorinates (24, 45) - 45
255: Coorinates (81, 45) - 45
256: Coorinates (463, 45) - 45
257: Coorinates (322, 45) - 45
258: Coorinates (354, 46) - 46
259: Coorinates (183, 46) - 46
260: Coorinates (812, 46) - 46
261: Coorinates (953, 46) - 46
262: Coorinates (39, 46) - 46
263: Coorinates (199, 46) - 46
264: Coorinates (840, 46) - 46
265: Coorinates (118, 46) - 46
266: Coorinates (56, 46) - 46
267: Coorinates (376, 46) - 46
268: Coorinates (404, 46) - 46
269: Coorinates (622, 47) - 47
270: Coorinates (946, 47) - 47
271: Coorinates (909, 47) - 47
272: Coorinates (692, 47) - 47
273: Coorinates (590, 47) - 47
274: Coorinates (872, 47) - 47
275: Coorinates (162, 47) - 47
276: Coorinates (680, 48) - 48
277: Coorinates (438, 48) - 48
278: Coorinates (908, 49) - 49
279: Coorinates (917, 50) - 50
280: Coorinates (296, 50) - 50
281: Complex number (26, 66) - 50
282: Coorinates (126, 50) - 50
283: Coorinates (656, 51) - 51
284: Coorinates (324, 51) - 51
285: Coorinates (701, 51) - 51
286: Coorinates (372, 51) - 51
287: Coorinates (916, 51) - 51
288: Coorinates (508, 51) - 51
289: Coorinates (170, 51) - 51
290: Coorinates (803, 51) - 51
291: Coorinates (574, 51) - 51
292: Complex number (20, 70) - 51
293: Coorinates (701, 52) - 52
294: Coorinates (649, 52) - 52
295: Complex number (40, 62) - 52
296: Coorinates (734, 53) - 53
297: Coorinates (294, 53) - 53
298: Complex number (34, 68) - 53
299: Coorinates (626, 53) - 53
300: Coorinates (254, 53) - 53
301: Coorinates (872, 53) - 53
302: Coorinates (165, 54) - 54
303: Coorinates (133, 54) - 54
304: Coorinates (503, 54) - 54
305: Coorinates (441, 55) - 55
306: Coorinates (752, 55) - 55
307: Coorinates (493, 55) - 55
308: Coorinates (943, 56) - 56
309: Coorinates (835, 56) - 56
310: Coorinates (12, 56) - 56
311: Coorinates (523, 56) - 56
312: Coorinates (364, 56) - 56
313: Coorinates (789, 56) - 56
314: Coorinates (901, 56) - 56
315: Coorinates (205, 56) - 56
316: Coorinates (314, 56) - 56
317: Coorinates (341, 56) - 56
318: Coorinates (586, 57) - 57
319: Complex number (46, 67) - 57
320: Complex number (53, 64) - 58
321: Complex number (53, 64) - 58
322: Coorinates (828, 58) - 58
323: Coorinates (875, 58) - 58
324: Coorinates (971, 58) - 58
325: Coorinates (230, 58) - 58
326: Complex number (37, 75) - 59
327: Coorinates (609, 59) - 59
328: Coorinates (138, 59) - 59
329: Coorinates (257, 59) - 59
330: Coorinates (584, 59) - 59
331: Coorinates (894, 60) - 60
332: Complex number (79, 34) - 60
333: Coorinates (185, 60) - 60
334: Coorinates (847, 61) - 61
335: Coorinates (538, 61) - 61
336: Coorinates (240, 61) - 61
337: Complex number (52, 70) - 61
338: Coorinates (997, 61) - 61
339: Coorinates (11, 61) - 61
340: Coorinates (898, 62) - 62
341: Coorinates (870, 62) - 62
342: Coorinates (802, 62) - 62
343: Coorinates (206, 62) - 62
344: Coorinates (569, 62) - 62
345: Complex number (32, 84) - 63
346: Coorinates (339, 63) - 63
347: Coorinates (172, 63) - 63
348: Coorinates (900, 63) - 63
349: Coorinates (514, 64) - 64
350: Complex number (12, 90) - 64
351: Coorinates (958, 64) - 64
352: Coorinates (402, 64) - 64
353: Coorinates (266, 64) - 64
354: Coorinates (290, 64) - 64
355: Coorinates (333, 64) - 64
356: Coorinates (697, 64) - 64
357: Complex number (71, 58) - 64
358: Complex number (30, 86) - 64
359: Coorinates (948, 64) - 64
360: Coorinates (737, 65) - 65
361: Complex number (3, 93) - 65
362: Coorinates (874, 65) - 65
363: Coorinates (392, 65) - 65
364: Coorinates (278, 65) - 65
365: Coorinates (403, 65) - 65
366: Coorinates (275, 66) - 66
367: Complex number (48, 81) - 66
368: Coorinates (847, 66) - 66
369: Coorinates (847, 66) - 66
370: Coorinates (221, 66) - 66
371: Coorinates (781, 66) - 66
372: Coorinates (835, 67) - 67
373: Coorinates (375, 67) - 67
374: Coorinates (775, 67) - 67
375: Coorinates (285, 67) - 67
376: Coorinates (872, 67) - 67
377: Coorinates (498, 67) - 67
378: Coorinates (524, 67) - 67
379: Coorinates (350, 67) - 67
380: Complex number (81, 51) - 67
381: Coorinates (484, 68) - 68
382: Coorinates (861, 68) - 68
383: Coorinates (505, 68) - 68
384: Coorinates (559, 68) - 68
385: Coorinates (658, 69) - 69
386: Complex number (93, 33) - 69
387: Complex number (95, 25) - 69
388: Coorinates (11, 69) - 69
389: Coorinates (331, 69) - 69
390: Coorinates (649, 69) - 69
391: Complex number (96, 21) - 69
392: Coorinates (528, 69) - 69
393: Coorinates (154, 69) - 69
394: Coorinates (273, 69) - 69
395: Coorinates (530, 69) - 69
396: Complex number (83, 56) - 70
397: Coorinates (632, 70) - 70
398: Coorinates (999, 71) - 71
399: Coorinates (699, 71) - 71
400: Coorinates (738, 71) - 71
401: Complex number (41, 92) - 71
402: Coorinates (85, 71) - 71
403: Coorinates (378, 71) - 71
404: Coorinates (403, 71) - 71
405: Coorinates (673, 72) - 72
406: Coorinates (893, 72) - 72
407: Coorinates (899, 72) - 72
408: Coorinates (826, 72) - 72
409: Coorinates (83, 73) - 73
410: Coorinates (137, 73) - 73
411: Coorinates (676, 73) - 73
412: Coorinates (128, 74) - 74
413: Coorinates (27, 74) - 74
414: Coorinates (423, 74) - 74
415: Complex number (96, 44) - 74
416: Coorinates (467, 74) - 74
417: Coorinates (682, 74) - 74
418: Coorinates (340, 75) - 75
419: Coorinates (468, 75) - 75
420: Coorinates (851, 75) - 75
421: Coorinates (856, 75) - 75
422: Coorinates (420, 75) - 75
423: Complex number (95, 48) - 75
424: Coorinates (288, 75) - 75
425: Coorinates (813, 75) - 75
426: Complex number (104, 26) - 75
427: Coorinates (39, 75) - 75
428: Coorinates (710, 75) - 75
429: Coorinates (327, 76) - 76
430: Coorinates (83, 76) - 76
431: Complex number (48, 97) - 76
432: Coorinates (113, 76) - 76
433: Coorinates (459, 76) - 76
434: Coorinates (237, 77) - 77
435: Complex number (91, 60) - 77
436: Complex number (97, 52) - 77
437: Coorinates (396, 77) - 77
438: Complex number (106, 29) - 77
439: Coorinates (119, 77) - 77
440: Complex number (90, 65) - 78
441: Coorinates (263, 78) - 78
442: Complex number (37, 105) - 78
443: Coorinates (333, 78) - 78
444: Complex number (23, 108) - 78
445: Coorinates (713, 78) - 78
446: Coorinates (474, 78) - 78
447: Coorinates (608, 78) - 78
448: Coorinates (692, 78) - 78
449: Complex number (107, 35) - 79
450: Coorinates (771, 79) - 79
451: Complex number (34, 107) - 79
452: Complex number (88, 69) - 79
453: Complex number (8, 112) - 79
454: Coorinates (451, 80) - 80
455: Complex number (84, 76) - 80
456: Complex number (38, 108) - 80
457: Complex number (7, 113) - 80
458: Coorinates (477, 80) - 80
459: Coorinates (646, 80) - 80
460: Coorinates (427, 80) - 80
461: Coorinates (513, 80) - 80
462: Coorinates (948, 80) - 80
463: Coorinates (369, 81) - 81
464: Coorinates (933, 81) - 81
465: Coorinates (262, 81) - 81
466: Coorinates (156, 81) - 81
467: Coorinates (130, 82) - 82
468: Coorinates (28, 82) - 82
469: Coorinates (611, 82) - 82
470: Complex number (97, 64) - 82
471: Coorinates (888, 82) - 82
472: Complex number (114, 28) - 83
473: Coorinates (881, 83) - 83
474: Coorinates (531, 84) - 84
475: Coorinates (264, 84) - 84
476: Complex number (86, 82) - 84
477: Coorinates (723, 84) - 84
478: Coorinates (928, 84) - 84
479: Coorinates (243, 84) - 84
480: Coorinates (113, 85) - 85
481: Coorinates (350, 85) - 85
482: Complex number (2, 123) - 86
483: Coorinates (559, 86) - 86
484: Complex number (120, 26) - 86
485: Coorinates (47, 86) - 86
486: Coorinates (696, 86) - 86
487: Complex number (71, 100) - 86
488: Coorinates (605, 87) - 87
489: Coorinates (145, 87) - 87
490: Coorinates (357, 87) - 87
491: Coorinates (245, 87) - 87
492: Coorinates (296, 88) - 88
493: Coorinates (659, 88) - 88
494: Coorinates (717, 88) - 88
495: Coorinates (774, 88) - 88
496: Coorinates (623, 89) - 89
497: Coorinates (868, 89) - 89
498: Coorinates (54, 89) - 89
499: Coorinates (440, 89) - 89
500: Coorinates (59, 89) - 89
501: Complex number (13, 126) - 89
502: Coorinates (744, 89) - 89
503: Coorinates (378, 89) - 89
504: Coorinates (452, 90) - 90
505: Coorinates (828, 90) - 90
506: Complex number (75, 103) - 90
507: Complex number (79, 100) - 90
508: Coorinates (550, 91) - 91
509: Coorinates (523, 91) - 91
510: Coorinates (355, 91) - 91
511: Complex number (105, 75) - 91
512: Coorinates (416, 91) - 91
513: Coorinates (209, 91) - 91
514: Coorinates (894, 91) - 91
515: Coorinates (448, 91) - 91
516: Complex number (79, 102) - 91
517: Coorinates (1000, 91) - 91
518: Coorinates (513, 91) - 91
519: Coorinates (130, 92) - 92
520: Coorinates (372, 92) - 92
521: Complex number (129, 17) - 92
522: Coorinates (777, 92) - 92
523: Coorinates (562, 92) - 92
524: Coorinates (107, 92) - 92
525: Coorinates (612, 92) - 92
526: Coorinates (195, 92) - 92
527: Coorinates (832, 92) - 92
528: Coorinates (695, 92) - 92
529: Coorinates (793, 93) - 93
530: Coorinates (417, 93) - 93
531: Coorinates (749, 93) - 93
532: Coorinates (527, 93) - 93
533: Coorinates (346, 93) - 93
534: Complex number (132, 6) - 93
535: Coorinates (524, 93) - 93
536: Coorinates (326, 93) - 93
537: Coorinates (951, 93) - 93
538: Coorinates (650, 94) - 94
539: Complex number (94, 95) - 94
540: Coorinates (12, 94) - 94
541: Complex number (135, 9) - 95
542: Complex number (25, 133) - 95
543: Coorinates (631, 95) - 95
544: Complex number (110, 78) - 95
545: Coorinates (730, 95) - 95
546: Coorinates (839, 95) - 95
547: Coorinates (761, 95) - 95
548: Coorinates (855, 95) - 95
549: Coorinates (246, 96) - 96
550: Coorinates (568, 96) - 96
551: Coorinates (427, 96) - 96
552: Coorinates (325, 96) - 96
553: Coorinates (690, 96) - 96
554: Complex number (7, 136) - 96
555: Complex number (77, 113) - 96
556: Coorinates (260, 97) - 97
557: Coorinates (653, 97) - 97
558: Coorinates (890, 97) - 97
559: Coorinates (780, 98) - 98
560: Coorinates (623, 98) - 98
561: Coorinates (227, 98) - 98
562: Coorinates (526, 98) - 98
563: Complex number (136, 32) - 98
564: Complex number (140, 11) - 99
565: Complex number (81, 115) - 99
566: Coorinates (422, 99) - 99
567: Coorinates (841, 99) - 99
568: Coorinates (526, 99) - 99
569: Complex number (88, 109) - 99
570: Coorinates (735, 99) - 99
571: Coorinates (82, 100) - 100
572: Complex number (47, 134) - 100
573: Coorinates (210, 100) - 100
574: Coorinates (9, 100) - 100
575: Complex number (75, 120) - 100
576: Coorinates (385, 101) - 101
577: Coorinates (86, 101) - 101
578: Coorinates (114, 101) - 101
579: Complex number (3, 144) - 101
580: Complex number (144, 5) - 101
581: Coorinates (241, 101) - 101
582: Coorinates (365, 101) - 101
583: Coorinates (660, 102) - 102
584: Coorinates (335, 102) - 102
585: Coorinates (320, 102) - 102
586: Coorinates (376, 102) - 102
587: Coorinates (281, 102) - 102
588: Complex number (142, 27) - 102
589: Coorinates (156, 102) - 102
590: Complex number (48, 137) - 102
591: Coorinates (948, 102) - 102
592: Coorinates (404, 102) - 102
593: Coorinates (877, 103) - 103
594: Coorinates (812, 103) - 103
595: Coorinates (331, 103) - 103
596: Coorinates (531, 103) - 103
597: Complex number (134, 60) - 103
598: Coorinates (90, 103) - 103
599: Complex number (50, 137) - 103
600: Coorinates (40, 103) - 103
601: Complex number (140, 42) - 103
602: Coorinates (376, 104) - 104
603: Complex number (84, 121) - 104
604: Complex number (130, 69) - 104
605: Complex number (95, 113) - 104
606: Coorinates (700, 104) - 104
607: Coorinates (549, 104) - 104
608: Coorinates (506, 104) - 104
609: Coorinates (148, 105) - 105
610: Complex number (28, 147) - 105
611: Coorinates (533, 106) - 106
612: Coorinates (783, 106) - 106
613: Coorinates (214, 106) - 106
614: Coorinates (17, 106) - 106
615: Coorinates (834, 106) - 106
616: Coorinates (393, 106) - 106
617: Coorinates (750, 106) - 106
618: Coorinates (701, 106) - 106
619: Coorinates (368, 106) - 106
620: Coorinates (222, 107) - 107
621: Coorinates (173, 107) - 107
622: Complex number (124, 87) - 107
623: Coorinates (380, 107) - 107
624: Coorinates (704, 107) - 107
625: Coorinates (73, 107) - 107
626: Complex number (115, 101) - 108
627: Coorinates (848, 108) - 108
628: Complex number (114, 102) - 108
629: Coorinates (435, 108) - 108
630: Coorinates (620, 108) - 108
631: Coorinates (94, 108) - 108
632: Coorinates (350, 108) - 108
633: Complex number (89, 126) - 109
634: Complex number (67, 140) - 109
635: Coorinates (812, 109) - 109
636: Coorinates (736, 109) - 109
637: Complex number (38, 150) - 109
638: Coorinates (716, 109) - 109
639: Coorinates (896, 110) - 110
640: Complex number (112, 108) - 110
641: Complex number (152, 36) - 110
642: Coorinates (257, 110) - 110
643: Complex number (143, 64) - 110
644: Coorinates (760, 110) - 110
645: Coorinates (807, 110) - 110
646: Coorinates (888, 111) - 111
647: Coorinates (677, 111) - 111
648: Coorinates (644, 111) - 111
649: Coorinates (320, 111) - 111
650: Coorinates (19, 111) - 111
651: Coorinates (685, 111) - 111
652: Complex number (44, 151) - 111
653: Coorinates (673, 111) - 111
654: Coorinates (910, 111) - 111
655: Coorinates (123, 112) - 112
656: Coorinates (886, 112) - 112
657: Coorinates (906, 112) - 112
658: Coorinates (938, 112) - 112
659: Complex number (54, 149) - 112
660: Coorinates (111, 112) - 112
661: Coorinates (561, 112) - 112
662: Coorinates (334, 112) - 112
663: Coorinates (304, 113) - 113
664: Complex number (117, 109) - 113
665: Coorinates (312, 113) - 113
666: Coorinates (341, 113) - 113
667: Coorinates (456, 113) - 113
668: Coorinates (101, 113) - 113
669: Coorinates (198, 113) - 113
670: Complex number (40, 155) - 113
671: Coorinates (953, 113) - 113
672: Coorinates (489, 114) - 114
673: Coorinates (949, 114) - 114
674: Coorinates (880, 114) - 114
675: Coorinates (505, 114) - 114
676: Coorinates (349, 114) - 114
677: Coorinates (994, 114) - 114
678: Coorinates (48, 115) - 115
679: Coorinates (763, 115) - 115
680: Coorinates (869, 115) - 115
681: Complex number (75, 146) - 116
682: Coorinates (8, 116) - 116
683: Coorinates (743, 116) - 116
684: Coorinates (907, 116) - 116
685: Coorinates (356, 116) - 116
686: Coorinates (688, 116) - 116
687: Coorinates (135, 117) - 117
688: Coorinates (142, 117) - 117
689: Coorinates (468, 117) - 117
690: Coorinates (781, 117) - 117
691: Complex number (63, 153) - 117
692: Coorinates (674, 118) - 118
693: Coorinates (231, 118) - 118
694: Coorinates (502, 118) - 118
695: Coorinates (247, 118) - 118
696: Complex number (41, 162) - 118
697: Coorinates (217, 118) - 118
698: Coorinates (410, 118) - 118
699: Complex number (153, 67) - 118
700: Coorinates (611, 118) - 118
701: Coorinates (591, 118) - 118
702: Coorinates (704, 118) - 118
703: Complex number (167, 20) - 118
704: Coorinates (165, 119) - 119
705: Coorinates (821, 119) - 119
706: Coorinates (303, 119) - 119
707: Coorinates (842, 119) - 119
708: Coorinates (973, 119) - 119
709: Coorinates (695, 119) - 119
710: Complex number (142, 91) - 119
711: Coorinates (886, 120) - 120
712: Coorinates (630, 120) - 120
713: Coorinates (675, 120) - 120
714: Coorinates (170, 120) - 120
715: Coorinates (234, 120) - 120
716: Coorinates (184, 120) - 120
717: Coorinates (576, 120) - 120
718: Coorinates (695, 121) - 121
719: Coorinates (109, 121) - 121
720: Complex number (147, 90) - 121
721: Coorinates (693, 121) - 121
722: Coorinates (743, 121) - 121
723: Coorinates (116, 121) - 121
724: Complex number (172, 2) - 121
725: Complex number (105, 138) - 122
726: Coorinates (802, 122) - 122
727: Coorinates (116, 122) - 122
728: Coorinates (722, 122) - 122
729: Coorinates (433, 122) - 122
730: Coorinates (711, 122) - 122
731: Coorinates (865, 123) - 123
732: Complex number (72, 159) - 123
733: Coorinates (98, 123) - 123
734: Coorinates (232, 123) - 123
735: Complex number (92, 148) - 123
736: Complex number (153, 86) - 124
737: Complex number (146, 98) - 124
738: Coorinates (508, 124) - 124
739: Complex number (57, 166) - 124
740: Complex number (59, 166) - 124
741: Coorinates (242, 125) - 125
742: Coorinates (439, 125) - 125
743: Complex number (99, 147) - 125
744: Coorinates (640, 125) - 125
745: Coorinates (369, 125) - 125
746: Complex number (61, 166) - 125
747: Coorinates (786, 126) - 126
748: Coorinates (279, 126) - 126
749: Complex number (79, 161) - 126
750: Complex number (160, 81) - 126
751: Complex number (13, 178) - 126
752: Complex number (159, 82) - 126
753: Coorinates (182, 126) - 126
754: Coorinates (747, 126) - 126
755: Complex number (166, 65) - 126
756: Coorinates (519, 126) - 126
757: Coorinates (836, 126) - 126
758: Complex number (134, 118) - 126
759: Coorinates (597, 127) - 127
760: Complex number (59, 170) - 127
761: Complex number (149, 101) - 127
762: Complex number (129, 126) - 127
763: Coorinates (336, 128) - 128
764: Complex number (83, 162) - 128
765: Coorinates (705, 128) - 128
766: Coorinates (304, 128) - 128
767: Coorinates (329, 128) - 128
768: Coorinates (13, 128) - 128
769: Coorinates (5, 128) - 128
770: Coorinates (771, 128) - 128
771: Coorinates (996, 129) - 129
772: Complex number (169, 69) - 129
773: Coorinates (232, 129) - 129
774: Coorinates (970, 129) - 129
775: Coorinates (354, 129) - 129
776: Coorinates (162, 129) - 129
777: Coorinates (360, 129) - 129
778: Complex number (64, 171) - 129
779: Complex number (150, 105) - 129
780: Coorinates (352, 130) - 130
781: Coorinates (570, 130) - 130
782: Coorinates (464, 130) - 130
783: Coorinates (257, 131) - 131
784: Coorinates (376, 131) - 131
785: Complex number (118, 144) - 131
786: Complex number (87, 164) - 131
787: Coorinates (806, 131) - 131
788: Coorinates (943, 131) - 131
789: Coorinates (370, 131) - 131
790: Coorinates (271, 131) - 131
791: Complex number (73, 171) - 131
792: Coorinates (661, 131) - 131
793: Coorinates (959, 131) - 131
794: Complex number (12, 186) - 131
795: Coorinates (316, 132) - 132
796: Coorinates (338, 132) - 132
797: Coorinates (36, 132) - 132
798: Complex number (45, 182) - 132
799: Coorinates (844, 133) - 133
800: Complex number (152, 113) - 133
801: Coorinates (485, 133) - 133
802: Complex number (114, 151) - 133
803: Coorinates (125, 133) - 133
804: Complex number (134, 132) - 133
805: Complex number (65, 178) - 133
806: Complex number (66, 179) - 134
807: Complex number (168, 89) - 134
808: Coorinates (294, 134) - 134
809: Complex number (173, 80) - 134
810: Complex number (9, 190) - 134
811: Coorinates (897, 134) - 134
812: Coorinates (661, 134) - 134
813: Coorinates (365, 134) - 134
814: Coorinates (244, 135) - 135
815: Complex number (179, 68) - 135
816: Coorinates (537, 135) - 135
817: Coorinates (848, 135) - 135
818: Complex number (55, 184) - 135
819: Complex number (136, 135) - 135
820: Coorinates (268, 135) - 135
821: Coorinates (538, 135) - 135
822: Coorinates (785, 136) - 136
823: Complex number (176, 81) - 136
824: Coorinates (344, 136) - 136
825: Coorinates (461, 136) - 136
826: Coorinates (891, 136) - 136
827: Coorinates (40, 136) - 136
828: Complex number (98, 166) - 136
829: Coorinates (186, 136) - 136
